"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","110553","","","","0"
"1981-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","110420","","","","0"
"1981-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","109845","","","","0"
"1981-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","110139","","","","0"
"1982-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","108494","","","","0"
"1982-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","107688","","","","0"
"1982-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","107245","","","","0"
"1982-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","106952","","","","0"
"1983-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","108549","","","","0"
"1983-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","109931","","","","0"
"1983-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","111374","","","","0"
"1983-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","112595","","","","0"
"1984-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","113818","","","","0"
"1984-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","115046","","","","0"
"1984-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","115262","","","","0"
"1984-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","117247","","","","0"
"1985-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","118649","","","","0"
"1985-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","119872","","","","0"
"1985-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","122346","","","","0"
"1985-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","123760","","","","0"
"1986-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","123724","","","","0"
"1986-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","125187","","","","0"
"1986-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","126926","","","","0"
"1986-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","126996","","","","0"
"1987-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","128259","","","","0"
"1987-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","130372","","","","0"
"1987-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","131533","","","","0"
"1987-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","132984","","","","0"
"1988-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","133838","","","","0"
"1988-04","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","135791","","","","0"
"1988-07","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","136636","","","","0"
"1988-10","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","138394","","","","0"
"1989-01","Canada","2016A000011124","2017 constant prices","Seasonally adjusted at quarterly rates","Household final consumption expenditure","Dollars","81","millions","6","v62700682","1.2.1.1","139453","","","","0"
