"","REF_DATE","VALUE","year","month"
"1","1981-01",40.2,1981,1
"2","1981-04",41.1,1981,4
"3","1981-07",42.2,1981,7
"4","1981-10",43,1981,10
"5","1982-01",43.9,1982,1
"6","1982-04",45.3,1982,4
"7","1982-07",46.4,1982,7
"8","1982-10",47.4,1982,10
"9","1983-01",47.9,1983,1
"10","1983-04",48.5,1983,4
"11","1983-07",49.4,1983,7
"12","1983-10",50,1983,10
"13","1984-01",50.6,1984,1
"14","1984-04",50.9,1984,4
"15","1984-07",51.4,1984,7
"16","1984-10",51.8,1984,10
"17","1985-01",52.4,1985,1
"18","1985-04",53.1,1985,4
"19","1985-07",53.5,1985,7
"20","1985-10",53.9,1985,10
"21","1986-01",54.9,1986,1
"22","1986-04",55.1,1986,4
"23","1986-07",55.7,1986,7
"24","1986-10",56.4,1986,10
"25","1987-01",57,1987,1
"26","1987-04",57.5,1987,4
"27","1987-07",57.9,1987,7
"28","1987-10",58.5,1987,10
"29","1988-01",59,1988,1
"30","1988-04",59.6,1988,4
"31","1988-07",60.3,1988,7
"32","1988-10",60.9,1988,10
"33","1989-01",61.3,1989,1
"34","1989-04",62.3,1989,4
"35","1989-07",63.1,1989,7
"36","1989-10",63.5,1989,10
"37","1990-01",64.1,1990,1
"38","1990-04",64.7,1990,4
"39","1990-07",65.5,1990,7
"40","1990-10",66.4,1990,10
"41","1991-01",67.8,1991,1
"42","1991-04",68.3,1991,4
"43","1991-07",68.8,1991,7
"44","1991-10",68.5,1991,10
"45","1992-01",68.9,1992,1
"46","1992-04",69.2,1992,4
"47","1992-07",69.7,1992,7
"48","1992-10",70,1992,10
"49","1993-01",70.2,1993,1
"50","1993-04",70.6,1993,4
"51","1993-07",70.9,1993,7
"52","1993-10",71.5,1993,10
"53","1994-01",71.2,1994,1
"54","1994-04",71.3,1994,4
"55","1994-07",71.7,1994,7
"56","1994-10",72,1994,10
"57","1995-01",72.2,1995,1
"58","1995-04",72.5,1995,4
"59","1995-07",72.7,1995,7
"60","1995-10",72.8,1995,10
"61","1996-01",73.1,1996,1
"62","1996-04",73.7,1996,4
"63","1996-07",74,1996,7
"64","1996-10",74.4,1996,10
"65","1997-01",74.6,1997,1
"66","1997-04",74.9,1997,4
"67","1997-07",75,1997,7
"68","1997-10",75.5,1997,10
"69","1998-01",75.6,1998,1
"70","1998-04",75.7,1998,4
"71","1998-07",76,1998,7
"72","1998-10",76.3,1998,10
"73","1999-01",76.5,1999,1
"74","1999-04",76.9,1999,4
"75","1999-07",77.4,1999,7
"76","1999-10",77.9,1999,10
"77","2000-01",78.2,2000,1
"78","2000-04",78.6,2000,4
"79","2000-07",79.2,2000,7
"80","2000-10",79.8,2000,10
"81","2001-01",79.8,2001,1
"82","2001-04",80.8,2001,4
"83","2001-07",80.9,2001,7
